,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
27824,27825,2013,3,5,8,1,117.0,166.0,140.0,150.0,-6.0,59.0,1019.0,1.0,cv,0.89,0.0,0.0,2013-03-05,141.0
27825,27826,2013,3,5,9,1,131.0,165.0,152.0,163.0,-8.0,38.0,1019.0,5.0,cv,1.78,0.0,0.0,2013-03-05,149.33
27826,27827,2013,3,5,10,1,141.0,173.0,128.0,172.0,-8.0,31.0,1018.0,8.0,cv,2.67,0.0,0.0,2013-03-05,147.33
27828,27829,2013,3,5,12,1,169.0,182.0,3.0,181.0,-9.0,23.0,1017.0,11.0,cv,4.45,0.0,0.0,2013-03-05,118.0
27829,27830,2013,3,5,13,1,169.0,169.0,3.0,187.0,-9.0,22.0,1015.0,12.0,cv,5.34,0.0,0.0,2013-03-05,113.67
27830,27831,2013,3,5,14,1,174.0,183.0,163.0,204.0,-10.0,19.0,1014.0,13.0,cv,7.13,0.0,0.0,2013-03-05,173.33
27831,27832,2013,3,5,15,1,194.0,195.0,192.0,218.0,-9.0,19.0,1013.0,14.0,SE,3.13,0.0,0.0,2013-03-05,193.67
27832,27833,2013,3,5,16,1,208.0,212.0,203.0,222.0,-9.0,19.0,1013.0,14.0,SE,4.92,0.0,0.0,2013-03-05,207.67
27833,27834,2013,3,5,17,1,213.0,207.0,195.0,208.0,-8.0,23.0,1013.0,12.0,NE,1.79,0.0,0.0,2013-03-05,205.0
27834,27835,2013,3,5,18,1,203.0,198.0,185.0,225.0,-7.0,33.0,1013.0,8.0,cv,0.45,0.0,0.0,2013-03-05,195.33
27835,27836,2013,3,5,19,1,209.0,216.0,203.0,235.0,-6.0,44.0,1014.0,5.0,cv,1.34,0.0,0.0,2013-03-05,209.33
27836,27837,2013,3,5,20,1,222.0,256.0,217.0,263.0,-7.0,38.0,1014.0,6.0,cv,2.23,0.0,0.0,2013-03-05,231.67
27837,27838,2013,3,5,21,1,228.0,263.0,235.0,274.0,-6.0,48.0,1014.0,4.0,NW,0.89,0.0,0.0,2013-03-05,242.0
27838,27839,2013,3,5,22,1,227.0,269.0,242.0,275.0,-6.0,48.0,1014.0,4.0,cv,0.89,0.0,0.0,2013-03-05,246.0
27839,27840,2013,3,5,23,1,236.0,260.0,229.0,302.0,-6.0,51.0,1014.0,3.0,cv,1.78,0.0,0.0,2013-03-05,241.67
27840,27841,2013,3,6,0,1,245.0,266.0,202.0,225.0,-6.0,55.0,1014.0,2.0,NW,3.13,0.0,0.0,2013-03-06,237.67
27841,27842,2013,3,6,1,1,176.0,227.0,184.0,220.0,-6.0,51.0,1014.0,3.0,NW,4.92,0.0,0.0,2013-03-06,195.67
27842,27843,2013,3,6,2,1,168.0,212.0,169.0,207.0,-6.0,55.0,1013.0,2.0,NW,6.71,0.0,0.0,2013-03-06,183.0
27843,27844,2013,3,6,3,1,155.0,212.0,153.0,202.0,-6.0,55.0,1013.0,2.0,NW,9.84,0.0,0.0,2013-03-06,173.33
27844,27845,2013,3,6,4,1,152.0,196.0,145.0,200.0,-6.0,55.0,1013.0,2.0,NW,12.97,0.0,0.0,2013-03-06,164.33
27845,27846,2013,3,6,5,1,154.0,205.0,148.0,206.0,-6.0,55.0,1013.0,2.0,NW,16.1,0.0,0.0,2013-03-06,169.0
27846,27847,2013,3,6,6,1,190.0,199.0,156.0,202.0,-5.0,59.0,1013.0,2.0,NW,19.23,0.0,0.0,2013-03-06,181.67
27847,27848,2013,3,6,7,1,193.0,203.0,152.0,203.0,-5.0,55.0,1014.0,3.0,NW,23.25,0.0,0.0,2013-03-06,182.67
27848,27849,2013,3,6,8,1,185.0,204.0,176.0,196.0,-5.0,51.0,1015.0,4.0,NW,26.38,0.0,0.0,2013-03-06,188.33
27849,27850,2013,3,6,9,1,138.0,191.0,138.0,188.0,-6.0,39.0,1015.0,7.0,NW,30.4,0.0,0.0,2013-03-06,155.67
27850,27851,2013,3,6,10,1,177.0,186.0,167.0,187.0,-6.0,36.0,1015.0,8.0,NW,34.42,0.0,0.0,2013-03-06,176.67
27851,27852,2013,3,6,11,1,182.0,181.0,172.0,204.0,-6.0,31.0,1014.0,10.0,NW,38.44,0.0,0.0,2013-03-06,178.33
27852,27853,2013,3,6,12,1,198.0,195.0,189.0,233.0,-6.0,31.0,1013.0,10.0,NW,42.46,0.0,0.0,2013-03-06,194.0
27853,27854,2013,3,6,13,1,221.0,235.0,204.0,259.0,-6.0,31.0,1012.0,10.0,cv,0.89,0.0,0.0,2013-03-06,220.0
27854,27855,2013,3,6,14,1,240.0,249.0,227.0,267.0,-6.0,27.0,1011.0,12.0,cv,1.78,0.0,0.0,2013-03-06,238.67
27855,27856,2013,3,6,15,1,245.0,250.0,237.0,246.0,-6.0,26.0,1011.0,13.0,cv,2.67,0.0,0.0,2013-03-06,244.0
27856,27857,2013,3,6,16,1,239.0,252.0,232.0,247.0,-6.0,24.0,1011.0,14.0,cv,3.56,0.0,0.0,2013-03-06,241.0
27857,27858,2013,3,6,17,1,240.0,243.0,232.0,257.0,-5.0,28.0,1011.0,13.0,cv,4.45,0.0,0.0,2013-03-06,238.33
27858,27859,2013,3,6,18,1,245.0,236.0,235.0,,-4.0,45.0,1012.0,7.0,cv,6.24,0.0,0.0,2013-03-06,238.67
27859,27860,2013,3,6,19,1,244.0,244.0,235.0,257.0,-4.0,48.0,1012.0,6.0,cv,7.13,0.0,0.0,2013-03-06,241.0
27860,27861,2013,3,6,20,1,247.0,247.0,238.0,257.0,-3.0,56.0,1013.0,5.0,cv,8.02,0.0,0.0,2013-03-06,244.0
27861,27862,2013,3,6,21,1,248.0,240.0,234.0,249.0,-3.0,56.0,1014.0,5.0,cv,8.91,0.0,0.0,2013-03-06,240.67
27862,27863,2013,3,6,22,1,246.0,238.0,234.0,245.0,-3.0,60.0,1013.0,4.0,cv,9.8,0.0,0.0,2013-03-06,239.33
27863,27864,2013,3,6,23,1,251.0,236.0,231.0,242.0,-4.0,69.0,1013.0,1.0,cv,10.69,0.0,0.0,2013-03-06,239.33
27864,27865,2013,3,7,0,1,245.0,240.0,226.0,239.0,-3.0,69.0,1013.0,2.0,SE,0.89,0.0,0.0,2013-03-07,237.0
27865,27866,2013,3,7,1,1,253.0,243.0,228.0,240.0,-4.0,80.0,1013.0,-1.0,NE,1.79,0.0,0.0,2013-03-07,241.33
27866,27867,2013,3,7,2,1,250.0,265.0,230.0,238.0,-4.0,80.0,1013.0,-1.0,NW,0.89,0.0,0.0,2013-03-07,248.33
27867,27868,2013,3,7,3,1,242.0,287.0,227.0,338.0,-4.0,80.0,1012.0,-1.0,NW,1.78,0.0,0.0,2013-03-07,252.0
27868,27869,2013,3,7,4,1,242.0,354.0,291.0,334.0,-5.0,86.0,1012.0,-3.0,NW,3.57,0.0,0.0,2013-03-07,295.67
27869,27870,2013,3,7,5,1,242.0,355.0,314.0,344.0,-5.0,79.0,1012.0,-2.0,cv,0.45,0.0,0.0,2013-03-07,303.67
27870,27871,2013,3,7,6,1,261.0,356.0,318.0,351.0,-5.0,79.0,1012.0,-2.0,NE,0.89,0.0,0.0,2013-03-07,311.67
27871,27872,2013,3,7,7,1,292.0,342.0,300.0,331.0,-3.0,86.0,1012.0,-1.0,cv,0.45,0.0,0.0,2013-03-07,311.33
27872,27873,2013,3,7,8,1,300.0,333.0,281.0,327.0,-1.0,80.0,1012.0,2.0,SE,0.89,0.0,0.0,2013-03-07,304.67
27873,27874,2013,3,7,9,1,289.0,290.0,253.0,306.0,-2.0,52.0,1013.0,7.0,cv,0.89,0.0,0.0,2013-03-07,277.33
27874,27875,2013,3,7,10,1,260.0,281.0,258.0,289.0,-2.0,49.0,1012.0,8.0,cv,1.78,0.0,0.0,2013-03-07,266.33
27875,27876,2013,3,7,11,1,288.0,340.0,299.0,363.0,-2.0,35.0,1010.0,13.0,SE,1.79,0.0,0.0,2013-03-07,309.0
27876,27877,2013,3,7,12,1,312.0,404.0,363.0,306.0,-3.0,30.0,1009.0,14.0,SE,4.92,0.0,0.0,2013-03-07,359.67
27877,27878,2013,3,7,13,1,295.0,333.0,332.0,293.0,-3.0,25.0,1007.0,17.0,SE,8.94,0.0,0.0,2013-03-07,320.0
27878,27879,2013,3,7,14,1,308.0,315.0,317.0,279.0,-5.0,20.0,1006.0,18.0,cv,3.13,0.0,0.0,2013-03-07,313.33
27879,27880,2013,3,7,15,1,243.0,260.0,214.0,230.0,-4.0,22.0,1004.0,18.0,SE,3.13,0.0,0.0,2013-03-07,239.0
27880,27881,2013,3,7,16,1,214.0,213.0,150.0,201.0,-4.0,20.0,1003.0,19.0,cv,1.79,0.0,0.0,2013-03-07,192.33
27881,27882,2013,3,7,17,1,206.0,180.0,195.0,200.0,-1.0,31.0,1002.0,16.0,SE,1.79,0.0,0.0,2013-03-07,193.67
27883,27884,2013,3,7,19,1,184.0,175.0,178.0,294.0,0.0,46.0,1003.0,11.0,NE,1.79,0.0,0.0,2013-03-07,179.0
27884,27885,2013,3,7,20,1,258.0,229.0,203.0,510.0,0.0,56.0,1003.0,8.0,NE,3.58,0.0,0.0,2013-03-07,230.0
27885,27886,2013,3,7,21,1,438.0,429.0,403.0,516.0,0.0,53.0,1003.0,9.0,cv,0.89,0.0,0.0,2013-03-07,423.33
27886,27887,2013,3,7,22,1,520.0,468.0,490.0,469.0,-1.0,60.0,1003.0,6.0,NW,1.79,0.0,0.0,2013-03-07,492.67
27887,27888,2013,3,7,23,1,488.0,494.0,493.0,450.0,0.0,60.0,1004.0,7.0,cv,0.45,0.0,0.0,2013-03-07,491.67
27888,27889,2013,3,8,0,1,450.0,476.0,396.0,397.0,-1.0,65.0,1003.0,5.0,NW,0.89,0.0,0.0,2013-03-08,440.67
27889,27890,2013,3,8,1,1,362.0,456.0,346.0,365.0,-2.0,64.0,1004.0,4.0,NW,2.68,0.0,0.0,2013-03-08,388.0
27890,27891,2013,3,8,2,1,322.0,407.0,312.0,364.0,-2.0,64.0,1004.0,4.0,NW,5.81,0.0,0.0,2013-03-08,347.0
27891,27892,2013,3,8,3,1,308.0,365.0,303.0,357.0,-2.0,69.0,1003.0,3.0,NW,8.94,0.0,0.0,2013-03-08,325.33
27892,27893,2013,3,8,4,1,296.0,346.0,294.0,357.0,-2.0,74.0,1004.0,2.0,cv,0.45,0.0,0.0,2013-03-08,312.0
27893,27894,2013,3,8,5,1,123.0,348.0,291.0,350.0,-2.0,74.0,1004.0,2.0,cv,1.34,0.0,0.0,2013-03-08,254.0
27894,27895,2013,3,8,6,1,3.0,343.0,288.0,337.0,-3.0,80.0,1005.0,0.0,cv,2.23,0.0,0.0,2013-03-08,211.33
27895,27896,2013,3,8,7,1,3.0,327.0,284.0,323.0,-4.0,74.0,1005.0,0.0,NE,3.13,0.0,0.0,2013-03-08,204.67
27896,27897,2013,3,8,8,1,311.0,320.0,279.0,306.0,0.0,60.0,1006.0,7.0,cv,0.89,0.0,0.0,2013-03-08,303.33
27898,27899,2013,3,8,10,1,200.0,148.0,157.0,139.0,-2.0,33.0,1007.0,14.0,SE,1.79,0.0,0.0,2013-03-08,168.33
27899,27900,2013,3,8,11,1,108.0,117.0,105.0,95.0,-5.0,18.0,1006.0,20.0,SE,4.92,0.0,0.0,2013-03-08,110.0
27900,27901,2013,3,8,12,1,159.0,223.0,184.0,189.0,-6.0,15.0,1006.0,21.0,SE,8.94,0.0,0.0,2013-03-08,188.67
27901,27902,2013,3,8,13,1,203.0,366.0,332.0,410.0,0.0,29.0,1005.0,18.0,SE,16.09,0.0,0.0,2013-03-08,300.33
27903,27904,2013,3,8,15,1,163.0,140.0,155.0,145.0,0.0,38.0,1005.0,14.0,SE,29.95,0.0,0.0,2013-03-08,152.67
27904,27905,2013,3,8,16,1,111.0,96.0,86.0,99.0,0.0,40.0,1005.0,13.0,SE,38.0,0.0,0.0,2013-03-08,97.67
27905,27906,2013,3,8,17,1,52.0,83.0,85.0,87.0,-1.0,43.0,1006.0,11.0,SE,42.92,0.0,0.0,2013-03-08,73.33
27906,27907,2013,3,8,18,1,88.0,90.0,88.0,93.0,-1.0,49.0,1006.0,9.0,SE,46.05,0.0,0.0,2013-03-08,88.67
27907,27908,2013,3,8,19,1,58.0,95.0,90.0,95.0,-2.0,52.0,1006.0,7.0,SE,47.84,0.0,0.0,2013-03-08,81.0
27908,27909,2013,3,8,20,1,57.0,98.0,59.0,101.0,-2.0,49.0,1006.0,8.0,SE,50.97,0.0,0.0,2013-03-08,71.33
27909,27910,2013,3,8,21,1,87.0,91.0,63.0,97.0,-3.0,56.0,1006.0,5.0,SE,52.76,0.0,0.0,2013-03-08,80.33
27910,27911,2013,3,8,22,1,48.0,82.0,82.0,89.0,-4.0,48.0,1006.0,6.0,SE,55.89,0.0,0.0,2013-03-08,70.67
27911,27912,2013,3,8,23,1,50.0,84.0,51.0,87.0,-4.0,55.0,1005.0,4.0,SE,59.02,0.0,0.0,2013-03-08,61.67
27912,27913,2013,3,9,0,1,58.0,98.0,61.0,105.0,-4.0,64.0,1003.0,2.0,cv,0.89,0.0,0.0,2013-03-09,72.33
27913,27914,2013,3,9,1,1,64.0,103.0,72.0,114.0,-4.0,59.0,1002.0,3.0,cv,1.78,0.0,0.0,2013-03-09,79.67
27914,27915,2013,3,9,2,1,74.0,113.0,77.0,119.0,-4.0,69.0,1001.0,1.0,SE,0.89,0.0,0.0,2013-03-09,88.0
27916,27917,2013,3,9,4,1,81.0,129.0,84.0,129.0,-3.0,74.0,998.0,1.0,cv,1.78,0.0,0.0,2013-03-09,98.0
27917,27918,2013,3,9,5,1,104.0,122.0,114.0,122.0,-3.0,69.0,997.0,2.0,cv,2.67,0.0,0.0,2013-03-09,113.33
27918,27919,2013,3,9,6,1,113.0,111.0,106.0,122.0,-4.0,69.0,998.0,1.0,NW,1.79,0.0,0.0,2013-03-09,110.0
27919,27920,2013,3,9,7,1,110.0,103.0,108.0,124.0,-3.0,74.0,998.0,1.0,NW,4.92,0.0,0.0,2013-03-09,107.0
27920,27921,2013,3,9,8,1,114.0,122.0,114.0,136.0,-2.0,64.0,999.0,4.0,NW,8.05,0.0,0.0,2013-03-09,116.67
27921,27922,2013,3,9,9,1,151.0,142.0,130.0,141.0,-3.0,48.0,1000.0,7.0,NW,12.07,0.0,0.0,2013-03-09,141.0
