,No,year,month,day,hour,season,PM_Caotangsi,PM_Shahepu,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26304,26305,2013,1,1,0,4,121.0,138.0,129.0,-4.0,64.42,1022.0,2.0,cv,1.0,0.0,0.0,2013-01-01,129.5
26305,26306,2013,1,1,1,4,134.0,159.0,135.0,-3.0,80.19,1022.0,0.0,cv,1.0,0.0,0.0,2013-01-01,146.5
26307,26308,2013,1,1,3,4,203.0,162.0,,-3.0,80.19,1022.0,0.0,SW,1.0,0.0,0.0,2013-01-01,182.5
26308,26309,2013,1,1,4,4,217.0,157.0,,-1.0,100.0,1021.0,-1.0,cv,0.0,0.0,0.0,2013-01-01,187.0
26309,26310,2013,1,1,5,4,220.0,170.0,,-3.0,92.85,1021.0,-2.0,SW,1.0,0.0,0.0,2013-01-01,195.0
26310,26311,2013,1,1,6,4,214.0,225.0,,-2.0,92.91,1021.0,-1.0,NW,1.0,0.0,0.0,2013-01-01,219.5
26311,26312,2013,1,1,7,4,209.0,244.0,,-2.0,100.0,1021.0,-2.0,cv,0.0,0.0,0.0,2013-01-01,226.5
26312,26313,2013,1,1,8,4,228.0,242.0,,-3.0,100.0,1021.0,-3.0,NW,1.0,0.0,0.0,2013-01-01,235.0
26313,26314,2013,1,1,9,4,219.0,277.0,,-2.0,100.0,1022.0,-2.0,NW,2.0,0.0,0.0,2013-01-01,248.0
26314,26315,2013,1,1,10,4,225.0,281.0,,-2.0,74.78,1022.0,2.0,cv,1.0,0.0,0.0,2013-01-01,253.0
26315,26316,2013,1,1,11,4,192.0,284.0,,-2.0,56.45,1022.0,6.0,cv,2.0,0.0,0.0,2013-01-01,238.0
26317,26318,2013,1,1,13,4,159.0,181.0,132.0,-9.0,26.99,1018.0,9.0,SW,1.0,0.0,0.0,2013-01-01,170.0
26318,26319,2013,1,1,14,4,168.0,184.0,100.0,-8.0,27.29,1017.0,10.0,SW,2.0,0.0,0.0,2013-01-01,176.0
26319,26320,2013,1,1,15,4,143.0,162.0,101.0,-7.0,29.48,1015.0,10.0,NE,2.0,0.0,0.0,2013-01-01,152.5
26320,26321,2013,1,1,16,4,113.0,151.0,91.0,-7.0,29.48,1015.0,10.0,NE,4.0,0.0,0.0,2013-01-01,132.0
26321,26322,2013,1,1,17,4,85.0,146.0,95.0,-7.0,29.48,1014.0,10.0,cv,1.0,0.0,0.0,2013-01-01,115.5
26322,26323,2013,1,1,18,4,93.0,147.0,115.0,-5.0,42.1,1014.0,7.0,cv,2.0,0.0,0.0,2013-01-01,120.0
26323,26324,2013,1,1,19,4,117.0,164.0,129.0,-4.0,55.91,1014.0,4.0,cv,2.0,0.0,0.0,2013-01-01,140.5
26324,26325,2013,1,1,20,4,118.0,165.0,138.0,-4.0,60.0,1015.0,3.0,cv,2.0,0.0,0.0,2013-01-01,141.5
26325,26326,2013,1,1,21,4,122.0,171.0,159.0,-3.0,64.66,1015.0,3.0,cv,2.0,0.0,0.0,2013-01-01,146.5
26326,26327,2013,1,1,22,4,158.0,223.0,163.0,-3.0,69.43,1015.0,2.0,cv,3.0,0.0,0.0,2013-01-01,190.5
26327,26328,2013,1,1,23,4,169.0,222.0,155.0,-2.0,80.34,1016.0,1.0,cv,4.0,0.0,0.0,2013-01-01,195.5
26328,26329,2013,1,2,0,4,210.0,194.0,170.0,-2.0,86.37,1015.0,0.0,cv,5.0,0.0,0.0,2013-01-02,202.0
26330,26331,2013,1,2,2,4,182.0,198.0,202.0,-3.0,69.43,1016.0,2.0,NW,3.0,0.0,0.0,2013-01-02,190.0
26331,26332,2013,1,2,3,4,145.0,193.0,167.0,-2.0,86.37,1017.0,0.0,NW,4.0,0.0,0.0,2013-01-02,169.0
26332,26333,2013,1,2,4,4,126.0,188.0,148.0,-2.0,74.78,1016.0,2.0,NW,5.0,0.0,0.0,2013-01-02,157.0
26333,26334,2013,1,2,5,4,109.0,191.0,144.0,-4.0,60.0,1017.0,3.0,NW,6.0,0.0,0.0,2013-01-02,150.0
26334,26335,2013,1,2,6,4,122.0,166.0,139.0,-3.0,64.66,1017.0,3.0,NW,7.0,0.0,0.0,2013-01-02,144.0
26335,26336,2013,1,2,7,4,124.0,148.0,180.0,-3.0,60.25,1018.0,4.0,NW,9.0,0.0,0.0,2013-01-02,136.0
26336,26337,2013,1,2,8,4,124.0,157.0,153.0,-3.0,60.25,1019.0,4.0,SW,1.0,0.0,0.0,2013-01-02,140.5
26337,26338,2013,1,2,9,4,175.0,163.0,161.0,-1.0,74.96,1019.0,3.0,SW,2.0,0.0,0.0,2013-01-02,169.0
26339,26340,2013,1,2,11,4,174.0,237.0,,-1.0,60.76,1022.0,6.0,SW,2.0,0.0,0.0,2013-01-02,205.5
26340,26341,2013,1,2,12,4,208.0,256.0,,0.0,61.01,1022.0,7.0,cv,1.0,0.0,0.0,2013-01-02,232.0
26341,26342,2013,1,2,13,4,219.0,278.0,,0.0,56.99,1021.0,8.0,SW,1.0,0.0,0.0,2013-01-02,248.5
26342,26343,2013,1,2,14,4,220.0,276.0,,0.0,53.26,1020.0,9.0,SW,2.0,0.0,0.0,2013-01-02,248.0
26343,26344,2013,1,2,15,4,155.0,265.0,,-3.0,42.71,1020.0,9.0,NE,1.0,0.0,0.0,2013-01-02,210.0
26344,26345,2013,1,2,16,4,103.0,199.0,126.0,-5.0,36.74,1021.0,9.0,NE,6.0,0.0,0.0,2013-01-02,151.0
26345,26346,2013,1,2,17,4,97.0,169.0,113.0,-6.0,34.05,1023.0,9.0,NE,10.0,0.0,0.0,2013-01-02,133.0
26346,26347,2013,1,2,18,4,79.0,134.0,56.0,-4.0,39.63,1024.0,9.0,NE,13.0,0.0,0.0,2013-01-02,106.5
26347,26348,2013,1,2,19,4,38.0,87.0,56.0,-3.0,45.7,1027.0,8.0,NE,18.0,0.0,0.0,2013-01-02,62.5
26348,26349,2013,1,2,20,4,43.0,76.0,58.0,-3.0,45.7,1028.0,8.0,NE,24.0,0.0,0.0,2013-01-02,59.5
26350,26351,2013,1,2,22,4,51.0,79.0,65.0,-2.0,52.7,1031.0,7.0,NE,34.0,0.0,0.0,2013-01-02,65.0
26351,26352,2013,1,2,23,4,59.0,72.0,66.0,-1.0,60.76,1032.0,6.0,NE,38.0,0.0,0.0,2013-01-02,65.5
26352,26353,2013,1,3,0,4,56.0,77.0,70.0,0.0,75.14,1033.0,4.0,NW,5.0,0.0,0.0,2013-01-03,66.5
26353,26354,2013,1,3,1,4,52.0,77.0,66.0,-1.0,65.13,1033.0,5.0,NE,4.0,0.0,0.0,2013-01-03,64.5
26354,26355,2013,1,3,2,4,45.0,73.0,60.0,-2.0,64.9,1033.0,4.0,NE,9.0,0.0,0.0,2013-01-03,59.0
26355,26356,2013,1,3,3,4,48.0,66.0,55.0,-1.0,69.85,1033.0,4.0,NE,13.0,0.0,0.0,2013-01-03,57.0
26356,26357,2013,1,3,4,4,49.0,68.0,62.0,-1.0,69.85,1033.0,4.0,NE,16.0,0.0,0.0,2013-01-03,58.5
26357,26358,2013,1,3,5,4,52.0,68.0,61.0,-1.0,74.96,1032.0,3.0,NE,18.0,0.0,0.0,2013-01-03,60.0
26358,26359,2013,1,3,6,4,47.0,58.0,62.0,-2.0,64.9,1032.0,4.0,NE,20.0,0.0,0.0,2013-01-03,52.5
26359,26360,2013,1,3,7,4,50.0,66.0,59.0,-2.0,69.64,1033.0,3.0,NE,22.0,0.0,0.0,2013-01-03,58.0
26360,26361,2013,1,3,8,4,51.0,61.0,61.0,-2.0,64.9,1033.0,4.0,cv,1.0,0.0,0.0,2013-01-03,56.0
26361,26362,2013,1,3,9,4,59.0,64.0,68.0,-3.0,60.25,1033.0,4.0,NE,2.0,0.0,0.0,2013-01-03,61.5
26362,26363,2013,1,3,10,4,65.0,63.0,69.0,-3.0,60.25,1034.0,4.0,NE,6.0,0.0,0.0,2013-01-03,64.0
26363,26364,2013,1,3,11,4,39.0,85.0,67.0,-3.0,60.25,1034.0,4.0,NE,10.0,0.0,0.0,2013-01-03,62.0
