,No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26304,26305,2013,1,1,0,4,66.0,70.0,71.0,-5.0,69.0,1023.0,0.0,SW,60.0,0.0,0.0,2013-01-01,68.5
26305,26306,2013,1,1,1,4,67.0,76.0,72.0,-5.0,69.0,1023.0,0.0,SW,62.0,0.0,0.0,2013-01-01,69.5
26307,26308,2013,1,1,3,4,73.0,78.0,74.0,-4.0,74.41,1023.0,0.0,SW,65.0,0.0,0.0,2013-01-01,73.5
26308,26309,2013,1,1,4,4,75.0,77.0,77.0,-4.0,80.04,1023.0,-1.0,SW,68.0,0.0,0.0,2013-01-01,76.0
26309,26310,2013,1,1,5,4,73.0,78.0,80.0,-4.0,80.04,1023.0,-1.0,SW,70.0,0.0,0.0,2013-01-01,76.5
26310,26311,2013,1,1,6,4,74.0,77.0,77.0,-4.0,80.04,1023.0,-1.0,SW,71.0,0.0,0.0,2013-01-01,75.5
26311,26312,2013,1,1,7,4,73.0,80.0,84.0,-4.0,86.15,1024.0,-2.0,cv,0.0,0.0,0.0,2013-01-01,78.5
26312,26313,2013,1,1,8,4,77.0,76.0,87.0,-5.0,79.89,1024.0,-2.0,cv,1.0,0.0,0.0,2013-01-01,82.0
26313,26314,2013,1,1,9,4,73.0,74.0,91.0,-3.0,60.25,1025.0,4.0,SW,4.0,0.0,0.0,2013-01-01,82.0
26314,26315,2013,1,1,10,4,82.0,76.0,88.0,-4.0,48.63,1025.0,6.0,SW,8.0,0.0,0.0,2013-01-01,85.0
26315,26316,2013,1,1,11,4,78.0,66.0,72.0,-4.0,42.4,1024.0,8.0,SW,12.0,0.0,0.0,2013-01-01,75.0
26317,26318,2013,1,1,13,4,52.0,50.0,49.0,-6.0,34.05,1023.0,9.0,NW,4.0,0.0,0.0,2013-01-01,50.5
26318,26319,2013,1,1,14,4,54.0,48.0,52.0,-6.0,31.84,1022.0,10.0,NW,7.0,0.0,0.0,2013-01-01,53.0
26319,26320,2013,1,1,15,4,52.0,49.0,51.0,-7.0,29.48,1022.0,10.0,NW,10.0,0.0,0.0,2013-01-01,51.5
26320,26321,2013,1,1,16,4,49.0,54.0,58.0,-7.0,29.48,1022.0,10.0,SW,3.0,0.0,0.0,2013-01-01,53.5
26321,26322,2013,1,1,17,4,56.0,61.0,73.0,-7.0,31.53,1022.0,9.0,SW,5.0,0.0,0.0,2013-01-01,64.5
26322,26323,2013,1,1,18,4,71.0,60.0,82.0,-5.0,45.1,1022.0,6.0,SW,6.0,0.0,0.0,2013-01-01,76.5
26323,26324,2013,1,1,19,4,88.0,101.0,106.0,-4.0,52.13,1023.0,5.0,NE,1.0,0.0,0.0,2013-01-01,97.0
