,No,year,month,day,hour,season,PM_Taiyuanjie,PM_US Post,PM_Xiaoheyan,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec,date,city_avg_cn
26304,26305,2013,1,1,0,4,145.0,,148.0,-17.0,66.23,1016.0,-12.0,SE,24.0,0.0,0.0,2013-01-01,146.5
26305,26306,2013,1,1,1,4,150.0,,133.0,-16.0,72.02,1016.0,-12.0,SE,26.0,0.0,0.0,2013-01-01,141.5
26307,26308,2013,1,1,3,4,142.0,,121.0,-14.0,78.44,1016.0,-11.0,cv,1.0,0.1,0.1,2013-01-01,131.5
26308,26309,2013,1,1,4,4,105.0,,110.0,-16.0,78.1,1016.0,-13.0,NW,2.0,0.0,0.0,2013-01-01,107.5
26309,26310,2013,1,1,5,4,154.0,,107.0,-16.0,84.74,1016.0,-14.0,NE,1.0,0.0,0.0,2013-01-01,130.5
26310,26311,2013,1,1,6,4,176.0,,123.0,-16.0,84.74,1016.0,-14.0,SW,3.0,0.0,0.0,2013-01-01,149.5
26311,26312,2013,1,1,7,4,140.0,,111.0,-18.0,71.6,1018.0,-14.0,NW,5.0,0.0,0.0,2013-01-01,125.5
26312,26313,2013,1,1,8,4,93.0,,76.0,-18.0,71.6,1019.0,-14.0,NW,9.0,0.0,0.0,2013-01-01,84.5
26313,26314,2013,1,1,9,4,53.0,,56.0,-18.0,71.6,1020.0,-14.0,NW,12.0,0.0,0.0,2013-01-01,54.5
26314,26315,2013,1,1,10,4,23.0,,29.0,-22.0,54.98,1021.0,-15.0,NW,19.0,0.0,0.0,2013-01-01,26.0
26315,26316,2013,1,1,11,4,29.0,,20.0,-24.0,46.01,1021.0,-15.0,NW,24.0,0.0,0.0,2013-01-01,24.5
26317,26318,2013,1,1,13,4,13.0,,7.0,-24.0,46.01,1022.0,-15.0,NW,33.0,0.0,0.0,2013-01-01,10.0
26318,26319,2013,1,1,14,4,8.0,,6.0,-25.0,42.03,1022.0,-15.0,NW,37.0,0.0,0.0,2013-01-01,7.0
26319,26320,2013,1,1,15,4,9.0,,8.0,-26.0,38.37,1023.0,-15.0,NW,41.0,0.0,0.0,2013-01-01,8.5
26320,26321,2013,1,1,16,4,14.0,,9.0,-27.0,38.03,1024.0,-16.0,NW,44.0,0.0,0.0,2013-01-01,11.5
26321,26322,2013,1,1,17,4,24.0,,14.0,-27.0,41.36,1024.0,-17.0,NW,47.0,0.0,0.0,2013-01-01,19.0
26322,26323,2013,1,1,18,4,34.0,,24.0,-27.0,45.02,1025.0,-18.0,NW,49.0,0.0,0.0,2013-01-01,29.0
26323,26324,2013,1,1,19,4,37.0,,20.0,-27.0,45.02,1026.0,-18.0,NW,52.0,0.0,0.0,2013-01-01,28.5
26324,26325,2013,1,1,20,4,25.0,,17.0,-28.0,44.68,1026.0,-19.0,NW,53.0,0.0,0.0,2013-01-01,21.0
26325,26326,2013,1,1,21,4,18.0,,25.0,-28.0,53.13,1026.0,-21.0,SE,2.0,0.0,0.0,2013-01-01,21.5
26326,26327,2013,1,1,22,4,21.0,,77.0,-29.0,57.71,1026.0,-23.0,SE,4.0,0.0,0.0,2013-01-01,49.0
26327,26328,2013,1,1,23,4,30.0,,59.0,-30.0,62.84,1027.0,-25.0,cv,1.0,0.0,0.0,2013-01-01,44.5
26328,26329,2013,1,2,0,4,43.0,,26.0,-30.0,62.84,1027.0,-25.0,SW,2.0,0.0,0.0,2013-01-02,34.5
26330,26331,2013,1,2,2,4,25.0,,23.0,-30.0,62.84,1028.0,-25.0,SW,5.0,0.0,0.0,2013-01-02,24.0
26331,26332,2013,1,2,3,4,19.0,,13.0,-31.0,68.59,1028.0,-27.0,SW,7.0,0.0,0.0,2013-01-02,16.0
26332,26333,2013,1,2,4,4,36.0,,12.0,-31.0,62.56,1029.0,-26.0,SW,8.0,0.0,0.0,2013-01-02,24.0
26333,26334,2013,1,2,5,4,22.0,,9.0,-31.0,68.59,1029.0,-27.0,SW,10.0,0.0,0.0,2013-01-02,15.5
26334,26335,2013,1,2,6,4,16.0,,8.0,-31.0,68.59,1030.0,-27.0,SW,12.0,0.0,0.0,2013-01-02,12.0
26335,26336,2013,1,2,7,4,19.0,,10.0,-31.0,68.59,1031.0,-27.0,SE,1.0,0.0,0.0,2013-01-02,14.5
26336,26337,2013,1,2,8,4,24.0,,13.0,-30.0,68.83,1032.0,-26.0,SW,2.0,0.0,0.0,2013-01-02,18.5
26337,26338,2013,1,2,9,4,30.0,,14.0,-28.0,63.39,1033.0,-23.0,SW,4.0,0.0,0.0,2013-01-02,22.0
26339,26340,2013,1,2,11,4,27.0,,24.0,-27.0,45.02,1034.0,-18.0,SW,10.0,0.0,0.0,2013-01-02,25.5
26340,26341,2013,1,2,12,4,26.0,,24.0,-27.0,41.36,1034.0,-17.0,SW,13.0,0.0,0.0,2013-01-02,25.0
26341,26342,2013,1,2,13,4,23.0,,20.0,-26.0,45.35,1035.0,-17.0,SW,16.0,0.0,0.0,2013-01-02,21.5
26342,26343,2013,1,2,14,4,20.0,,20.0,-25.0,45.68,1035.0,-16.0,SW,20.0,0.0,0.0,2013-01-02,20.0
26343,26344,2013,1,2,15,4,16.0,,15.0,-25.0,45.68,1035.0,-16.0,SW,23.0,0.0,0.0,2013-01-02,15.5
26344,26345,2013,1,2,16,4,41.0,,45.0,-26.0,45.35,1035.0,-17.0,SW,25.0,0.0,0.0,2013-01-02,43.0
26345,26346,2013,1,2,17,4,104.0,,90.0,-26.0,49.35,1036.0,-18.0,SW,27.0,0.0,0.0,2013-01-02,97.0
26346,26347,2013,1,2,18,4,136.0,,135.0,-26.0,53.76,1036.0,-19.0,SE,3.0,0.0,0.0,2013-01-02,135.5
26347,26348,2013,1,2,19,4,152.0,,132.0,-26.0,58.6,1036.0,-20.0,SW,2.0,0.0,0.0,2013-01-02,142.0
26348,26349,2013,1,2,20,4,175.0,,156.0,-26.0,58.6,1037.0,-20.0,SW,5.0,0.0,0.0,2013-01-02,165.5
26350,26351,2013,1,2,22,4,150.0,,151.0,-27.0,58.31,1037.0,-21.0,SW,9.0,0.0,0.0,2013-01-02,150.5
26351,26352,2013,1,2,23,4,132.0,,122.0,-26.0,63.93,1038.0,-21.0,SW,10.0,0.0,0.0,2013-01-02,127.0
26352,26353,2013,1,3,0,4,91.0,,80.0,-26.0,58.6,1038.0,-20.0,SW,13.0,0.0,0.0,2013-01-03,85.5
26353,26354,2013,1,3,1,4,33.0,,12.0,-27.0,63.66,1038.0,-22.0,SW,14.0,0.0,0.0,2013-01-03,22.5
26354,26355,2013,1,3,2,4,26.0,,9.0,-27.0,63.66,1039.0,-22.0,SW,15.0,0.0,0.0,2013-01-03,17.5
26355,26356,2013,1,3,3,4,22.0,,6.0,-26.0,63.93,1039.0,-21.0,SW,17.0,0.0,0.0,2013-01-03,14.0
26356,26357,2013,1,3,4,4,17.0,,3.0,-27.0,63.66,1039.0,-22.0,SW,19.0,0.0,0.0,2013-01-03,10.0
26357,26358,2013,1,3,5,4,16.0,,7.0,-28.0,63.39,1039.0,-23.0,SE,2.0,0.0,0.0,2013-01-03,11.5
